Tiempo (s),Flujo de neutrones (n),pos_nuc (%),pos_BC1 (%),pos_BC2 (%)
0.48,11799.1712,100,100,100
0.481,11804.337,100,100,100
0.482,11809.4993,100,100,100
0.483,11814.6583,100,100,100
0.484,11819.8139,100,100,100
0.485,11824.9662,100,100,100
0.486,11830.115,100,100,100
0.487,11835.2605,100,100,100
0.488,11840.4027,100,100,100
0.489,11845.5416,100,100,100
0.49,11850.6771,100,100,100
0.491,11855.8093,100,100,100
0.492,11860.9382,100,100,100
0.493,11866.0638,100,100,100
0.494,11871.1861,100,100,100
0.495,11876.3051,100,100,100
0.496,11881.4209,100,100,100
0.497,11886.5334,100,100,100
0.498,11891.6426,100,100,100
0.499,11896.7486,100,100,100
0.5,11901.8514,100,100,100
0.501,11906.9509,100,100,100
0.502,11912.0472,100,100,100
0.503,11917.1403,100,100,100
0.504,11922.2302,100,100,100
0.505,11927.317,100,100,100
0.506,11932.4005,100,100,100
0.507,11937.4808,100,100,100
0.508,11942.558,100,100,100
0.509,11947.632,100,100,100
0.51,11952.7029,100,100,100
0.511,11957.7706,100,100,100
0.512,11962.8352,100,100,100
0.513,11967.8966,100,100,100
0.514,11972.9549,100,100,100
0.515,11978.0102,100,100,100
0.516,11983.0623,100,100,100
0.517,11988.1113,100,100,100
0.518,11993.1572,100,100,100
0.519,11998.2001,100,100,100
0.52,12003.2398,100,100,100
0.521,12008.2765,100,100,100
0.522,12013.3102,100,100,100
0.523,12018.3408,100,100,100
0.524,12023.3684,100,100,100
0.525,12028.3929,100,100,100
0.526,12033.4144,100,100,100
0.527,12038.4329,100,100,100
0.528,12043.4483,100,100,100
0.529,12048.4608,100,100,100
0.53,12053.4703,100,100,100
0.531,12058.4768,100,100,100
0.532,12063.4803,100,100,100
0.533,12068.4808,100,100,100
0.534,12073.4784,100,100,100
0.535,12078.473,100,100,100
0.536,12083.4647,100,100,100
0.537,12088.4534,100,100,100
0.538,12093.4392,100,100,100
0.539,12098.422,100,100,100
0.54,12103.402,100,100,100
